Monitoramento de Ganhos (anotar retiradas em valores anteriores),,,,,,,"R$ 4,80","R$ 4,35",,,,,,,,,,
Data,Total com rendimentos,Valor Aplicado,Rendimento do dia,% Rendimento do dia,Retirada / Depósito,Taxas do dia,% Taxas do dia,Lucro do dia,% Lucro do dia,% Anual projetada,Lucro acumulado,% rendimento acumulado,Rend acumulado,% Lucro Acumulado,Taxas Acumuladas,%Taxas Acumuladas,IOF,
06/02/2023,"R$ 5.004,73","R$ 5.002,39","R$ 0,47","0,01%","R$ 0,00","R$ 0,00","0,000%","R$ 0,47","0,009%","3,4%","R$ 2,34","0,05%","R$ 2,34","0,047%","R$ 0,00","0,000%",,
07/02/2023,"R$ 5.005,23","R$ 5.002,39","R$ 0,50","0,01%","R$ 0,00","R$ 0,00","0,000%","R$ 0,50","0,010%","3,6%","R$ 2,84","0,06%","R$ 2,84","0,057%","R$ 0,00","0,000%",,
08/02/2023,"R$ 4.462,21","R$ 4.457,01","R$ 1,24","0,03%","-R$ 544,26","-R$ 1,12","-0,025%","R$ 0,12","0,003%","10,1%","R$ 5,20","0,12%","R$ 5,20","0,117%","R$ 0,00","0,000%",,
10/02/2023,"R$ 4.462,97","R$ 4.457,01","R$ 0,76","0,02%","R$ 0,00","R$ 0,00","0,000%","R$ 0,76","0,017%","6,2%","R$ 5,96","0,13%","R$ 5,96","0,134%","-R$ 1,12","-0,025%",,
13/02/2023,"R$ 4.204,29","R$ 4.195,96","R$ 1,60","0,04%","-R$ 260,28","-R$ 0,77","-0,018%","R$ 0,83","0,020%","13,9%","R$ 8,33","0,20%","R$ 9,45","0,225%","-R$ 1,12","-0,027%",,
14/02/2023,"R$ 4.105,17","R$ 4.095,61","R$ 0,99","0,02%","-R$ 100,11","-R$ 0,24","-0,006%","R$ 0,75","0,018%","8,8%","R$ 9,56","0,23%","R$ 10,68","0,260%","-R$ 1,89","-0,046%",,
15/02/2023,"R$ 10.934,00","R$ 10.922,42","R$ 1,25","0,01%","R$ 6.827,58","-R$ 0,77","-0,007%","R$ 0,48","0,004%","4,2%","R$ 11,58","0,11%","R$ 13,47","0,123%","-R$ 2,13","-0,019%",,
16/02/2023,"R$ 10.935,25","R$ 10.922,42","R$ 1,25","0,01%","R$ 0,00","R$ 0,00","0,000%","R$ 1,25","0,011%","4,2%","R$ 12,83","0,12%","R$ 14,96","0,137%","-R$ 2,90","-0,027%",,
17/02/2023,"R$ 10.936,74","R$ 10.922,42","R$ 1,49","0,01%","R$ 0,00","R$ 0,00","0,000%","R$ 1,49","0,014%","5,0%","R$ 14,32","0,13%","R$ 17,22","0,157%","-R$ 2,90","-0,027%",,
18/02/2023,"R$ 10.942,20","R$ 10.922,42","R$ 5,46","0,05%","R$ 0,00","R$ 0,00","0,000%","R$ 5,46","0,050%","18,2%","R$ 19,78","0,18%","R$ 22,68","0,207%","-R$ 2,90","-0,027%",,
23/02/2023,"R$ 10.944,82","R$ 10.922,42","R$ 2,62","0,02%","R$ 0,00","R$ 0,00","0,000%","R$ 2,62","0,024%","8,7%","R$ 22,40","0,21%","R$ 25,30","0,231%","-R$ 2,90","-0,026%",,
24/02/2023,"R$ 10.547,28","R$ 10.520,58","R$ 3,09","0,03%","-R$ 400,63","-R$ 1,21","-0,011%","R$ 1,88","0,018%","10,7%","R$ 26,70","0,25%","R$ 29,60","0,281%","-R$ 2,90","-0,027%",,
27/02/2023,"R$ 10.552,83","R$ 10.520,58","R$ 5,55","0,05%","R$ 0,00","R$ 0,00","0,000%","R$ 5,55","0,053%","19,2%","R$ 32,25","0,31%","R$ 35,15","0,333%","-R$ 4,11","-0,039%",,
28/02/2023,"R$ 10.556,55","R$ 10.520,58","R$ 3,72","0,04%","R$ 0,00","R$ 0,00","0,000%","R$ 3,72","0,035%","12,9%","R$ 35,97","0,34%","R$ 40,08","0,380%","-R$ 4,11","-0,039%",,
01/03/2023,"R$ 12.118,36","R$ 12.078,58","R$ 3,81","0,03%","R$ 1.558,00","R$ 0,00","0,000%","R$ 3,81","0,031%","11,5%","R$ 39,78","0,33%","R$ 43,89","0,362%","-R$ 4,11","-0,034%",,
02/03/2023,"R$ 12.122,68","R$ 12.078,58","R$ 4,32","0,04%","R$ 0,00","R$ 0,00","0,000%","R$ 4,32","0,036%","13,0%","R$ 44,10","0,37%","R$ 48,21","0,398%","-R$ 4,11","-0,034%",,
03/03/2023,"R$ 6.126,91","R$ 6.062,37","R$ 4,69","0,08%","-R$ 6.000,46","-R$ 15,75","-0,257%","-R$ 11,06","-0,181%","27,9%","R$ 64,54","1,06%","R$ 68,65","1,120%","-R$ 4,11","-0,067%",,
06/03/2023,"R$ 6.130,16","R$ 6.062,37","R$ 3,25","0,05%","R$ 0,00","R$ 0,00","0,000%","R$ 3,25","0,053%","19,4%","R$ 67,79","1,12%","R$ 71,90","1,173%","-R$ 19,86","-0,324%",,
07/03/2023,"R$ 6.031,91","R$ 5.961,81","R$ 2,03","0,03%","-R$ 100,28","-R$ 0,28","-0,005%","R$ 1,75","0,029%","12,3%","R$ 70,10","1,18%","R$ 89,96","1,491%","-R$ 19,86","-0,329%",,
08/03/2023,"R$ 5.883,48","R$ 5.810,90","R$ 2,05","0,03%","-R$ 150,48","-R$ 0,43","-0,007%","R$ 1,62","0,028%","12,7%","R$ 72,58","1,25%","R$ 92,44","1,571%","-R$ 20,14","-0,342%",,
09/03/2023,"R$ 5.885,92","R$ 5.810,90","R$ 2,44","0,04%","R$ 0,00","R$ 0,00","0,000%","R$ 2,44","0,041%","15,1%","R$ 75,02","1,29%","R$ 95,16","1,617%","-R$ 20,57","-0,349%",,
15/03/2023,"R$ 0,00","R$ 0,00","R$ 3,60","0,00%","-R$ 5.889,52","-R$ 17,86","-0,303%","R$ 0,00","0,000%","0,0%","R$ 0,00","0,00%","R$ 0,00","0,000%","R$ 0,00","0,000%",,
